Sample_ID,Site,site_season,Sample_Type,Sample_Date,Season,Wet_Dry_Season,Sample_Time,Temperature_C,Conductivity_uS_cm,Dissolved_Oxygen_mg_L,pH,Turbidity_NTU,E_coli_MPN_100_mL,Log10_E_coli_MPN_100_ml,HF183MGB_GC_100_mL,Log_HF183MGB_GC_100_mL,E_Coli_GC_100_mL,Log_E_Coli_GC_100_mL,DG3_GC_100_mL,Log_DG3_GC_100_mL,Salmonella_Presence_Absence,Stx2_Presence_Absence,24_hr_Precipitation_in,48_hr_Precipitation_in,72_hr_Precipitation_in,Rain_Intensity_24_hr_prior_in_hr,Rain_Intensity_48_hr_prior_in_hr,Rain_Intensity_72_hr_prior_in_hr,Impervious_Percent,Forest_Percent,Grasslands_Percent
PC53,Lindsay Street,Lindsay Street_Wet,GrbW,1/26/2016,Winter,Wet,1218,14.7,365.0,8.30,7.02,NA,"2,455",3.4,"16,837",4.2,"16,879",4.2,ND,0.0,P,A,0.00,0.00,0.00,0.000,0.000,0.000,94.5,0.0,0.0
PC54,Greensferry,Greensferry_Wet,GrbW,1/26/2016,Winter,Wet,1229,15.6,256.6,8.66,7.25,NA,"19,260",4.3,"7,239,586",6.9,"314,651",5.5,"2,820",3.5,A,A,0.00,0.00,0.00,0.000,0.000,0.000,83.8,0.4,0.0
PC55,Burbank,Burbank_Wet,GrbW,1/26/2016,Winter,Wet,1241,10.0,131.0,11.22,7.56,NA,"3,619",3.6,,,,,ND,0.0,P,A,0.00,0.00,0.00,0.000,0.000,0.000,68.7,1.4,0.0
PC57,Northwest,Northwest_Wet,GrbW,2/9/2016,Winter,Wet,1058,6.0,183.4,11.87,7.45,NA,"1,295",3.1,"269,543",5.4,"24,359",4.4,,,A,A,0.00,0.00,0.00,0.000,0.000,0.000,59.0,13.9,0.9
PC58,Lillian Cooper Park,Lillian Cooper Park_Wet,GrbW,2/9/2016,Winter,Wet,1108,7.8,101.7,8.66,7.35,NA,99,2.0,"9,835",4.0,"4,451",3.6,ND,0.0,A,A,0.00,0.00,0.00,0.000,0.000,0.000,47.8,21.3,0.0
PC59,James Jackson,James Jackson_Wet,GrbW,2/9/2016,Winter,Wet,1123,6.0,175.0,11.56,7.32,NA,973,3.0,"219,034",5.3,"19,843",4.3,ND,0.0,A,A,0.00,0.00,0.00,0.000,0.000,0.000,60.1,13.1,1.0
PC60,Spring Street,Spring Street_Wet,GrbW,2/9/2016,Winter,Wet,1140,6.5,113.9,11.48,7.41,NA,618,2.8,"164,345",5.2,"19,775",4.3,ND,0.0,A,P,0.00,0.00,0.00,0.000,0.000,0.000,41.8,21.9,0.7
PC61,Kerry Circle,Kerry Circle_Wet,GrbW,2/9/2016,Winter,Wet,1155,6.5,199.8,10.41,7.33,NA,505,2.7,"166,860",5.2,"15,875",4.2,ND,0.0,P,A,0.00,0.00,0.00,0.000,0.000,0.000,69.7,8.6,1.0
PC62,Hortense,Hortense_Wet,GrbW,2/9/2016,Winter,Wet,1217,7.2,180.9,11.27,7.51,NA,654,2.8,"316,283",5.5,"18,806",4.3,ND,0.0,A,A,0.00,0.00,0.00,0.000,0.000,0.000,77.3,4.1,0.2
PC63,Grove Park,Grove Park_Wet,GrbW,2/9/2016,Winter,Wet,1230,6.7,137.3,11.77,7.61,NA,232,2.4,"19,961",4.3,"4,932",3.7,ND,0.0,P,P,0.00,0.00,0.00,0.000,0.000,0.000,48.8,11.2,0.0
PC65,North Ave,North Ave_Wet,GrbW,2/9/2016,Winter,Wet,1256,11.1,202.5,10.57,7.63,NA,"4,254",3.6,"5,616,550",6.7,"104,622",5.0,"9,598",4.0,A,A,0.00,0.00,0.00,0.000,0.000,0.000,77.0,1.2,0.0
