Sample_ID,Site,site_season,Sample_Type,Sample_Date,Season,Wet_Dry_Season,Sample_Time,Temperature_C,Conductivity_uS_cm,Dissolved_Oxygen_mg_L,pH,Turbidity_NTU,E_coli_MPN_100_mL,Log10_E_coli_MPN_100_ml,HF183MGB_GC_100_mL,Log_HF183MGB_GC_100_mL,E_Coli_GC_100_mL,Log_E_Coli_GC_100_mL,DG3_GC_100_mL,Log_DG3_GC_100_mL,Salmonella_presence_absence,Stx2_presence_absence,24_hr_Precipitation_in,48_hr_Precipitation_in,72_hr_Precipitation_in,Rain_Intensity_24_hr_prior_in_hr,Rain_Intensity_48_hr_prior_in_hr,Rain_Intensity_72_hr_prior_in_hr,Impervious_Percent,Forest_Percent,Grasslands_Percent
PC173,Lillian Cooper Park,Lillian Cooper Park_Wet,GrbW,6/1/16,Spring,Wet,1023,19.8,133.6,5.38,6.88,8.2,3867.00,3.6,0.00,0,12544.00,4.1,0.00,0,0,1,0,0,0,0,0,0,47.8,21.3,0
PC174,James Jackson,James Jackson_Wet,GrbW,6/1/16,Spring,Wet,1042,22.7,247.7,7.36,7.54,2.9,892.00,3,0.00,2.7,15399.00,4.2,0.00,0,1,0,0,0,0,0,0,0,60.1,13.1,1
PC175,Spring Street,Spring Street_Wet,GrbW,6/1/16,Spring,Wet,1054,21.9,167.9,8.01,7.52,2.4,639.00,2.8,0.00,2.7,5064.00,3.7,0.00,0,1,0,0,0,0,0,0,0,41.8,21.9,0.7
PC176,Kerry Circle,Kerry Circle_Wet,GrbW,6/1/16,Spring,Wet,1112,23.7,259,6.12,7.37,3.3,28311.00,4.5,128571.00,5.1,131874.00,5.1,0.00,0,1,0,0,0,0,0,0,0,69.7,8.6,1
PC177,Hortense,Hortense_Wet,GrbW,6/1/16,Spring,Wet,1130,23.2,298.7,7.33,7.44,2.3,610.00,2.8,0.00,2.7,4695.00,3.7,0.00,0,1,0,0,0,0,0,0,0,77.3,4.1,0.2
PC178,Grove Park,Grove Park_Wet,GrbW,6/1/16,Spring,Wet,1139,22.9,194.1,8.3,8.06,2,643.00,2.8,0.00,2.7,0.00,2.7,0.00,0,1,1,0,0,0,0,0,0,48.8,11.2,0
PC180,North Ave,North Ave_Wet,GrbW,6/1/16,Spring,Wet,1153,23.5,254.9,8.71,7.82,3.1,6005.00,3.8,81951.00,4.9,35832.00,4.6,0.00,0,1,0,0,0,0,0,0,0,77,1.2,0
PC181,North Ave CSO,North Ave CSO_Wet,GrbW,6/1/16,Spring,Wet,1203,19.6,540,2.45,7.41,5.6,223.00,2.3,0.00,2.7,4432.00,3.6,0.00,0,0,0,0,0,0,0,0,0,93.7,0.3,0
PC182,Lindsay Street,Lindsay Street_Wet,GrbW,6/1/16,Spring,Wet,1217,20.8,362,6.88,7.08,0.7,1808.00,3.3,41842.00,4.6,7322.00,3.9,0.00,0,0,0,0,0,0,0,0,0,94.5,0,0
PC183,Greensferry,Greensferry_Wet,GrbW,6/1/16,Spring,Wet,1228,20.5,289.1,6.86,7.29,0.8,19056.00,4.3,966412.00,6,150953.00,5.2,20564.00,4.3,0,0,0,0,0,0,0,0,83.8,0.4,0
PC184,Burbank,Burbank_Wet,GrbW,6/1/16,Spring,Wet,1240,23.5,176.1,7.35,7.51,5,9753.00,4,194133.00,5.3,28956.00,4.5,0.00,0,1,0,0,0,0,0,0,0,68.7,1.4,0
PC186,Northwest,Northwest_Wet,GrbW,6/14/16,Spring,Wet,1010,25.2,285.5,6.79,7.55,3,311.00,2.5,0.00,2.7,0.00,2.7,0.00,0,1,0,0,0,0,0,0,0,59,13.9,0.9
PC187,Lillian Cooper Park,Lillian Cooper Park_Wet,GrbW,6/14/16,Spring,Wet,1021,20,167.9,1.16,5.97,4.6,7487.00,3.9,0.00,0,34311.00,4.5,0.00,0,1,0,0,0,0,0,0,0,47.8,21.3,0
PC188,James Jackson,James Jackson_Wet,GrbW,6/14/16,Spring,Wet,1036,25.1,275.4,7.37,7.48,2.6,176.00,2.2,0.00,2.7,0.00,2.7,0.00,0,1,1,0,0,0,0,0,0,60.1,13.1,1
PC189,Spring Street,Spring Street_Wet,GrbW,6/14/16,Spring,Wet,1050,24,175.7,7.55,7.44,3.1,396.00,2.6,0.00,0,13572.00,4.1,0.00,0,1,1,0,0,0,0,0,0,41.8,21.9,0.7
PC190,Kerry Circle,Kerry Circle_Wet,GrbW,6/14/16,Spring,Wet,1104,25.8,307.2,6.17,7.34,3.1,2777.00,3.4,8496.00,3.9,18445.00,4.3,0.00,0,1,0,0,0,0,0,0,0,69.7,8.6,1
PC191,Hortense,Hortense_Wet,GrbW,6/14/16,Spring,Wet,1119,24.9,259.3,7.19,7.95,3.1,369.00,2.6,0.00,2.7,0.00,2.7,0.00,3,1,0,0,0,0,0,0,0,77.3,4.1,0.2
PC192,Grove Park,Grove Park_Wet,GrbW,6/14/16,Spring,Wet,1127,24.3,212.3,7.64,7.79,2.3,326.00,2.5,20789.00,4.3,12444.00,4.1,0.00,0,1,1,0,0,0,0,0,0,48.8,11.2,0
PC194,North Ave,North Ave_Wet,GrbW,6/14/16,Spring,Wet,1147,24.3,404.7,9.07,8.08,3.3,2232.00,3.3,33178.00,4.5,10664.00,4,0.00,0,1,1,0,0,0,0,0,0,77,1.2,0
PC195,North Ave CSO,North Ave CSO_Wet,GrbW,6/14/16,Spring,Wet,1154,21.3,572,1.2,7.25,2.1,204.00,2.3,0.00,2.7,0.00,2.7,0.00,0,0,0,0,0,0,0,0,0,93.7,0.3,0
PC196,Lindsay Street,Lindsay Street_Wet,GrbW,6/14/16,Spring,Wet,1204,21.8,311.3,6.4,7,1.7,1493.00,3.2,14173.00,4.2,28816.00,4.5,0.00,3,1,1,0,0,0,0,0,0,94.5,0,0
PC197,Greensferry,Greensferry_Wet,GrbW,6/14/16,Spring,Wet,1216,21.3,298.7,6.81,7.14,1.4,1955.00,3.3,16728.00,4.2,6871.00,3.8,0.00,0,0,0,0,0,0,0,0,0,83.8,0.4,0
PC198,Burbank,Burbank_Wet,GrbW,6/14/16,Spring,Wet,1226,24.6,173.2,7.57,7.95,3.5,1241.00,3.1,14541.00,4.2,5614.00,3.7,0.00,3,1,1,0,0,0,0,0,0,68.7,1.4,0
PC205,Northwest,Northwest_Dry,GrbW,6/28/16,Summer,Dry,1011,25.3,245.2,6.25,7.62,2.67,1019.00,3,0.00,2.7,5233.00,3.7,0.00,0,1,1,0.06,0.15,0.15,0.003,0.003,0.002,59,13.9,0.9
PC206,Lillian Cooper Park,Lillian Cooper Park_Dry,GrbW,6/28/16,Summer,Dry,1026,21.3,169.3,1.51,6.27,7.22,2006.00,3.3,0.00,2.7,9078.00,4,0.00,0,0,0,0.06,0.15,0.15,0.003,0.003,0.002,47.8,21.3,0
PC207,James Jackson,James Jackson_Dry,GrbW,6/28/16,Summer,Dry,1040,25.2,253.9,6.66,7.44,2.81,193.00,2.3,0.00,2.7,5010.00,3.7,0.00,0,1,0,0.06,0.15,0.15,0.003,0.003,0.002,60.1,13.1,1
PC208,Spring Street,Spring Street_Dry,GrbW,6/28/16,Summer,Dry,1056,23.9,168.9,7.09,7.38,2.9,372.00,2.6,0.00,2.7,2212.00,3.3,0.00,0,1,0,0.06,0.15,0.15,0.003,0.003,0.002,41.8,21.9,0.7
PC209,Kerry Circle,Kerry Circle_Dry,GrbW,6/28/16,Summer,Dry,1109,25.8,236.6,5.08,7.23,4.13,534.00,2.7,0.00,2.7,20931.00,4.3,0.00,0,1,1,0.06,0.15,0.15,0.003,0.003,0.002,69.7,8.6,1
PC210,Hortense,Hortense_Dry,GrbW,6/28/16,Summer,Dry,1125,25.3,248.7,7.08,7.41,2.61,771.00,2.9,0.00,2.7,12500.00,4.1,0.00,0,0,1,0.06,0.15,0.15,0.003,0.003,0.002,77.3,4.1,0.2
PC211,Grove Park,Grove Park_Dry,GrbW,6/28/16,Summer,Dry,1135,25,203,7.81,7.86,2.17,986.00,3,0.00,2.7,12185.00,4.1,0.00,0,1,0,0.06,0.15,0.15,0.003,0.003,0.002,48.8,11.2,0
PC212,North Ave,North Ave_Dry,GrbW,6/28/16,Summer,Dry,1145,24.9,536,8.43,7.68,1.41,1648.00,3.2,4697.00,3.7,3861.00,3.6,0.00,0,1,0,0.06,0.15,0.15,0.003,0.003,0.002,77,1.2,0
PC213,North Ave CSO,North Ave CSO_Dry,GrbW,6/28/16,Summer,Dry,1155,22.5,568,2.28,7.28,2.49,103.00,2,0.00,2.7,0.00,2.7,0.00,0,0,0,0.06,0.15,0.15,0.003,0.003,0.002,93.7,0.3,0
PC214,Lindsay Street,Lindsay Street_Dry,GrbW,6/28/16,Summer,Dry,1206,22.2,356.7,6.09,6.92,0.98,1192.00,3.1,1434.00,3.2,0.00,2.7,0.00,0,0,1,0.06,0.15,0.15,0.003,0.003,0.002,94.5,0,0
PC215,Greensferry,Greensferry_Dry,GrbW,6/28/16,Summer,Dry,1221,22.1,312.3,6,7.07,1.09,9561.00,4,147727.00,5.2,14300.00,4.2,0.00,0,0,0,0.06,0.15,0.15,0.003,0.003,0.002,83.8,0.4,0
PC216,Burbank,Burbank_Dry,GrbW,6/28/16,Summer,Dry,1230,24.8,171.2,7.52,7.57,1.52,928.00,3,2486.00,3.4,8294.00,3.9,0.00,0,0,0,0.06,0.15,0.15,0.003,0.003,0.002,68.7,1.4,0
PC218,Northwest,Northwest_Dry,GrbW,7/12/16,Summer,Dry,1050,24.9,331.4,7.25,7.94,2.76,1283.00,3.1,0.00,2.7,5701.00,3.8,0.00,0,1,0,0.06,0.06,0.06,0.003,0.001,0.001,59,13.9,0.9
PC219,Lillian Cooper Park,Lillian Cooper Park_Dry,GrbW,7/12/16,Summer,Dry,1106,21.6,186.2,0.97,6.18,6.83,707.00,2.8,0.00,2.7,13585541.00,7.1,0.00,0,0,1,0.06,0.06,0.06,0.003,0.001,0.001,47.8,21.3,0
PC220,James Jackson,James Jackson_Dry,GrbW,7/12/16,Summer,Dry,1120,24.9,336.9,7.85,7.82,2.55,127.00,2.1,0.00,2.7,4157.00,3.6,0.00,0,1,1,0.06,0.06,0.06,0.003,0.001,0.001,60.1,13.1,1
PC221,Spring Street,Spring Street_Dry,GrbW,7/12/16,Summer,Dry,1137,24.1,185.1,7.3,7.53,3,124.00,2.1,0.00,2.7,1723.00,3.2,0.00,0,1,1,0.06,0.06,0.06,0.003,0.001,0.001,41.8,21.9,0.7
PC222,Kerry Circle,Kerry Circle_Dry,GrbW,7/12/16,Summer,Dry,1150,25.2,365.5,6.55,7.5,3.28,3627.00,3.6,10252.00,4,45838.00,4.7,0.00,0,1,0,0.06,0.06,0.06,0.003,0.001,0.001,69.7,8.6,1
PC223,Hortense,Hortense_Dry,GrbW,7/12/16,Summer,Dry,1207,25.4,277.6,7.24,7.57,3.07,200.00,2.3,0.00,2.7,2290.00,3.4,0.00,0,1,0,0.06,0.06,0.06,0.003,0.001,0.001,77.3,4.1,0.2
